stamp_ns,header_stamp_ns,points
1790244976262057304,1790244976262057304,1816
1790244976362067222,1790244976362067222,1729
1790244976462067127,1790244976462067127,1735
1790244976562062263,1790244976562062263,1717
1790244976662062168,1790244976662062168,1816
1790244976762067317,1790244976762067317,1806
1790244976862072229,1790244976862072229,1724
1790244976962067127,1790244976962067127,1748
1790244977062067270,1790244977062067270,1735
1790244977162067174,1790244977162067174,1820
1790244977262067317,1790244977262067317,1804
1790244977362062215,1790244977362062215,1751
1790244977462062120,1790244977462062120,1741
1790244977562057256,1790244977562057256,1730
1790244977662057161,1790244977662057161,1838
1790244977762067317,1790244977762067317,1846
1790244977862067222,1790244977862067222,1730
1790244977962057113,1790244977962057113,1736
1790244978062067270,1790244978062067270,1719
1790244978162067174,1790244978162067174,1849
1790244978262072324,1790244978262072324,1810
1790244978362067222,1790244978362067222,1743
1790244978462072134,1790244978462072134,1735
1790244978562057256,1790244978562057256,1760
1790244978662067174,1790244978662067174,1805
1790244978762057304,1790244978762057304,1827
1790244978862062215,1790244978862062215,1708
1790244978962062120,1790244978962062120,1733
1790244979062062263,1790244979062062263,1733
1790244979162062168,1790244979162062168,1828
1790244979262067317,1790244979262067317,1781
1790244979362072229,1790244979362072229,1772
1790244979462072134,1790244979462072134,1728
1790244979562057256,1790244979562057256,1753
1790244979662067174,1790244979662067174,1794
1790244979762072324,1790244979762072324,1837
1790244979862072229,1790244979862072229,1688
1790244979962057113,1790244979962057113,1740
1790244980062062263,1790244980062062263,1726
1790244980162072181,1790244980162072181,1833
1790244980262072324,1790244980262072324,1804
1790244980362072229,1790244980362072229,1746
1790244980462062120,1790244980462062120,1728
1790244980562072277,1790244980562072277,1703
1790244980662072181,1790244980662072181,1773
1790244980762052536,1790244980762052536,1755
1790244980862072229,1790244980862072229,1676
1790244980962067127,1790244980962067127,1701
1790244981062067270,1790244981062067270,1673
1790244981162072181,1790244981162072181,1760
1790244981262062311,1790244981262062311,1764
1790244981362067222,1790244981362067222,1676
1790244981462057113,1790244981462057113,1710
1790244981562067270,1790244981562067270,1668
1790244981662057161,1790244981662057161,1763
1790244981762062311,1790244981762062311,1759
1790244981862057209,1790244981862057209,1693
1790244981962057113,1790244981962057113,1654
1790244982062072277,1790244982062072277,1639
1790244982162057161,1790244982162057161,1751
1790244982262062311,1790244982262062311,1737
1790244982362072229,1790244982362072229,1663
1790244982462072134,1790244982462072134,1688
1790244982562067270,1790244982562067270,1657
1790244982662062168,1790244982662062168,1744
1790244982762072324,1790244982762072324,1734
1790244982862067222,1790244982862067222,1627
1790244982962062120,1790244982962062120,1627
1790244983062072277,1790244983062072277,1882
1790244983162072181,1790244983162072181,1716
1790244983262062311,1790244983262062311,1647
1790244983362062215,1790244983362062215,1596
1790244983462072134,1790244983462072134,1621
1790244983562072277,1790244983562072277,1609
1790244983662057161,1790244983662057161,1707
1790244983762072324,1790244983762072324,1679
1790244983862057209,1790244983862057209,1628
1790244983962072134,1790244983962072134,1655
1790244984062072277,1790244984062072277,1604
1790244984162057161,1790244984162057161,1699
1790244984262067317,1790244984262067317,1712
1790244984362062215,1790244984362062215,1635
1790244984462057113,1790244984462057113,1633
1790244984562072277,1790244984562072277,1599
1790244984662057161,1790244984662057161,1713
1790244984762057304,1790244984762057304,1687
1790244984862057209,1790244984862057209,1604
1790244984962057113,1790244984962057113,1616
1790244985062067270,1790244985062067270,1614
1790244985162067174,1790244985162067174,1693
1790244985262062311,1790244985262062311,1670
1790244985362062215,1790244985362062215,1614
1790244985462057113,1790244985462057113,1608
1790244985562067270,1790244985562067270,1634
1790244985662052392,1790244985662052392,1652
1790244985762072324,1790244985762072324,1691
1790244985862067222,1790244985862067222,1601
1790244985962057113,1790244985962057113,1607
1790244986062057256,1790244986062057256,1607
1790244986162067174,1790244986162067174,1709
1790244986262067317,1790244986262067317,1661
1790244986362057209,1790244986362057209,1631
1790244986462072134,1790244986462072134,1646
1790244986562057256,1790244986562057256,1577
1790244986662062168,1790244986662062168,1665
1790244986762067317,1790244986762067317,1692
1790244986862057209,1790244986862057209,1609
1790244986962067127,1790244986962067127,1619
1790244987062072277,1790244987062072277,1627
1790244987162072181,1790244987162072181,1702
1790244987262067317,1790244987262067317,1656
1790244987362062215,1790244987362062215,1619
1790244987462062120,1790244987462062120,1581
1790244987562062263,1790244987562062263,1620
1790244987662072181,1790244987662072181,1649
1790244987762062311,1790244987762062311,1650
1790244987862062215,1790244987862062215,1581
1790244987962057113,1790244987962057113,1604
1790244988062062263,1790244988062062263,1585
1790244988162067174,1790244988162067174,1677
1790244988262067317,1790244988262067317,1641
1790244988362067222,1790244988362067222,1630
1790244988462057113,1790244988462057113,1642
1790244988562062263,1790244988562062263,1591
1790244988662057161,1790244988662057161,1659
1790244988762072324,1790244988762072324,1645
1790244988862057209,1790244988862057209,1595
1790244988962057113,1790244988962057113,1575
1790244989062072277,1790244989062072277,1551
1790244989162057161,1790244989162057161,1622
1790244989262067317,1790244989262067317,1654
1790244989362062215,1790244989362062215,1569
1790244989462067127,1790244989462067127,1601
1790244989562062263,1790244989562062263,1584
1790244989662062168,1790244989662062168,1653
1790244989762067317,1790244989762067317,1599
1790244989862062215,1790244989862062215,1547
1790244989962062120,1790244989962062120,1556
1790244990062057256,1790244990062057256,1536
1790244990162062168,1790244990162062168,1624
1790244990262067317,1790244990262067317,1647
1790244990362067222,1790244990362067222,1542
